code,country,Electronic Transactions,Consumer Protection,Privacy and Data Protection,Cybercrime,Indirect Taxation
004,Afghanistan,Legislation,No Legislation,No Legislation,Legislation,No Legislation
008,Albania,Legislation,Legislation,Legislation,Legislation,Legislation
012,Algeria,Legislation,Legislation,Legislation,Legislation,No Legislation
020,Andorra,Legislation,No Legislation,Legislation,Legislation,Legislation
024,Angola,Legislation,No Legislation,Legislation,Legislation,Legislation
028,Antigua and Barbuda,Legislation,Legislation,Legislation,Legislation,No Legislation
032,Argentina,Legislation,Legislation,Legislation,Legislation,Legislation
051,Armenia,Legislation,No Legislation,Legislation,Legislation,Legislation
036,Australia,Legislation,Legislation,Legislation,Legislation,Legislation
040,Austria,Legislation,Legislation,Legislation,Legislation,Legislation
031,Azerbaijan,Legislation,Legislation,Legislation,Legislation,Legislation
044,Bahamas,Legislation,Draft Legislation,Legislation,Legislation,Legislation
048,Bahrain,Legislation,Legislation,Legislation,Legislation,Legislation
050,Bangladesh,Legislation,Legislation,Draft Legislation,Legislation,Legislation
052,Barbados,Legislation,No Legislation,Legislation,Legislation,Legislation
112,Belarus,Legislation,Legislation,Legislation,Legislation,Legislation
056,Belgium,Legislation,Legislation,Legislation,Legislation,Legislation
084,Belize,Legislation,No Data,Legislation,Legislation,No Legislation
204,Benin,Legislation,Legislation,Legislation,Legislation,Legislation
064,Bhutan,Legislation,No Data,Legislation,Legislation,Legislation
068,Bolivia (Plurinational State of),Legislation,No Legislation,Legislation,No Legislation,Legislation
070,Bosnia and Herzegovina,Legislation,No Data,Legislation,Legislation,No Legislation
072,Botswana,Legislation,No Data,Legislation,Legislation,No Legislation
076,Brazil,Legislation,Legislation,Legislation,Legislation,Legislation
096,Brunei Darussalam,Legislation,Legislation,No Legislation,Legislation,No Legislation
100,Bulgaria,Legislation,Legislation,Legislation,Legislation,Legislation
854,Burkina Faso,Legislation,No Legislation,Legislation,Legislation,No Legislation
108,Burundi,Draft Legislation,No Legislation,No Legislation,Legislation,No Legislation
132,Cabo Verde,Legislation,No Legislation,Legislation,Legislation,No Legislation
116,Cambodia,Legislation,Legislation,Legislation,Draft Legislation,Legislation
120,Cameroon,Legislation,Legislation,Legislation,Legislation,Legislation
124,Canada,Legislation,Legislation,Legislation,Legislation,Legislation
140,Central African Republic,No Legislation,No Data,No Legislation,No Legislation,No Legislation
148,Chad,Legislation,No Data,Legislation,Legislation,No Legislation
152,Chile,Legislation,Legislation,Legislation,Legislation,Legislation
156,China,Legislation,Legislation,Legislation,Legislation,No Legislation
170,Colombia,Legislation,Legislation,Legislation,Legislation,Legislation
174,Comoros,No Legislation,No Legislation,No Legislation,No Legislation,No Legislation
178,Congo,No Legislation,No Legislation,Legislation,Legislation,No Legislation
188,Costa Rica,Legislation,Legislation,Legislation,Legislation,Legislation
191,Croatia,Legislation,Legislation,Legislation,Legislation,Legislation
192,Cuba,Draft Legislation,No Legislation,Legislation,Legislation,No Legislation
196,Cyprus,Legislation,No Legislation,Legislation,Legislation,No Legislation
203,Czechia,Legislation,Legislation,Legislation,Legislation,No Legislation
384,Côte d'Ivoire,Legislation,Legislation,Legislation,Legislation,Legislation
408,Democratic People's Republic of Korea,Legislation,Legislation,No Data,Legislation,No Legislation
180,Democratic Republic of the Congo,Legislation,Legislation,Legislation,Legislation,No Legislation
208,Denmark,Legislation,Legislation,Legislation,Legislation,Legislation
262,Djibouti,No Legislation,No Legislation,No Legislation,Legislation,No Legislation
212,Dominica,Legislation,No Legislation,No Legislation,Legislation,No Legislation
214,Dominican Republic,Legislation,Legislation,Legislation,Legislation,Legislation
218,Ecuador,Legislation,Legislation,Legislation,Legislation,Legislation
818,Egypt,Legislation,Legislation,Legislation,Legislation,Legislation
222,El Salvador,Legislation,Legislation,Draft Legislation,Legislation,No Legislation
226,Equatorial Guinea,No Legislation,No Legislation,Legislation,No Legislation,No Legislation
232,Eritrea,No Legislation,No Data,No Legislation,No Legislation,No Legislation
233,Estonia,Legislation,Legislation,Legislation,Legislation,Legislation
748,Eswatini,Legislation,Legislation,Legislation,Legislation,No Legislation
231,Ethiopia,Legislation,Legislation,Legislation,Legislation,No Legislation
242,Fiji,Legislation,No Legislation,No Legislation,Legislation,Legislation
246,Finland,Legislation,Legislation,Legislation,Legislation,Legislation
250,France,Legislation,Legislation,Legislation,Legislation,Legislation
266,Gabon,Legislation,No Legislation,Legislation,Legislation,Legislation
270,Gambia,Legislation,Legislation,Legislation,Legislation,No Legislation
268,Georgia,Legislation,Legislation,Legislation,Legislation,Legislation
276,Germany,Legislation,Legislation,Legislation,Legislation,Legislation
288,Ghana,Legislation,No Legislation,Legislation,Legislation,Legislation
300,Greece,Legislation,Legislation,Legislation,Legislation,No Legislation
308,Grenada,Legislation,Legislation,Legislation,Legislation,No Legislation
320,Guatemala,Legislation,Legislation,Legislation,Legislation,Legislation
324,Guinea,Legislation,Legislation,Legislation,Legislation,No Legislation
624,Guinea-Bissau,Legislation,No Legislation,No Legislation,No Legislation,No Legislation
328,Guyana,Legislation,Legislation,Legislation,Legislation,No Legislation
332,Haiti,Legislation,No Legislation,No Legislation,No Legislation,No Legislation
336,Holy See,No Data,No Data,No Data,No Data,No Legislation
340,Honduras,Legislation,Legislation,Legislation,Legislation,No Legislation
348,Hungary,Legislation,Legislation,Legislation,Legislation,Legislation
352,Iceland,Legislation,Legislation,Legislation,Legislation,No Legislation
356,India,Legislation,Legislation,Legislation,Legislation,Legislation
360,Indonesia,Legislation,Legislation,Legislation,Legislation,Legislation
364,Iran (Islamic Republic of),Legislation,Legislation,Legislation,Legislation,No Legislation
368,Iraq,Legislation,No Legislation,No Legislation,Draft Legislation,No Legislation
372,Ireland,Legislation,Legislation,Legislation,Legislation,Legislation
376,Israel,Legislation,No Legislation,Legislation,Legislation,Legislation
380,Italy,Legislation,Legislation,Legislation,Legislation,Legislation
388,Jamaica,Legislation,No Legislation,Legislation,Legislation,No Legislation
392,Japan,Legislation,Legislation,Legislation,Legislation,Legislation
400,Jordan,Legislation,Legislation,Legislation,Legislation,No Legislation
398,Kazakhstan,Legislation,Legislation,Legislation,Legislation,No Legislation
404,Kenya,Legislation,Legislation,Legislation,Legislation,Legislation
528,Kingdom Of the Netherlands,Legislation,Legislation,Legislation,Legislation,Legislation
296,Kiribati,Legislation,Legislation,No Legislation,Legislation,No Legislation
414,Kuwait,Legislation,Legislation,Legislation,Legislation,No Legislation
417,Kyrgyzstan,Legislation,Legislation,Legislation,Legislation,No Legislation
418,Lao People's Democratic Republic,Legislation,Legislation,Legislation,Legislation,Legislation
428,Latvia,Legislation,Legislation,Legislation,Legislation,Legislation
422,Lebanon,Legislation,Legislation,Legislation,Legislation,No Legislation
426,Lesotho,Draft Legislation,No Legislation,Legislation,Legislation,No Legislation
430,Liberia,Legislation,No Data,No Legislation,Draft Legislation,No Legislation
434,Libya,Legislation,No Legislation,No Legislation,Legislation,No Legislation
438,Liechtenstein,Legislation,Legislation,Legislation,Legislation,Legislation
440,Lithuania,Legislation,Legislation,Legislation,Legislation,Legislation
442,Luxembourg,Legislation,Legislation,Legislation,Legislation,Legislation
450,Madagascar,Legislation,Legislation,Legislation,Legislation,No Legislation
454,Malawi,Legislation,No Legislation,Legislation,Legislation,No Legislation
458,Malaysia,Legislation,Legislation,Legislation,Legislation,Legislation
462,Maldives,Legislation,No Legislation,Draft Legislation,Legislation,No Legislation
466,Mali,Legislation,No Legislation,Legislation,Legislation,No Legislation
470,Malta,Legislation,Legislation,Legislation,Legislation,Legislation
584,Marshall Islands,No Legislation,No Data,No Legislation,No Legislation,No Legislation
478,Mauritania,Legislation,No Data,Legislation,Legislation,No Legislation
480,Mauritius,Legislation,Legislation,Legislation,Legislation,Legislation
484,Mexico,Legislation,Legislation,Legislation,Legislation,Legislation
583,Micronesia (Federated States of),No Legislation,No Legislation,No Legislation,No Legislation,No Legislation
492,Monaco,Legislation,No Legislation,Legislation,Legislation,No Legislation
496,Mongolia,Legislation,Legislation,Legislation,Legislation,No Legislation
499,Montenegro,Legislation,Legislation,Legislation,Legislation,Legislation
504,Morocco,Legislation,Legislation,Legislation,Legislation,No Legislation
508,Mozambique,Legislation,Legislation,No Legislation,Legislation,No Legislation
104,Myanmar,Legislation,Legislation,No Legislation,Draft Legislation,No Legislation
516,Namibia,Legislation,No Legislation,Draft Legislation,Draft Legislation,No Legislation
520,Nauru,No Legislation,No Legislation,No Legislation,Legislation,No Legislation
524,Nepal,Legislation,Draft Legislation,Legislation,Legislation,Legislation
554,New Zealand,Legislation,Legislation,Legislation,Legislation,Legislation
558,Nicaragua,Legislation,No Legislation,Legislation,Legislation,No Legislation
562,Niger,Legislation,No Legislation,Legislation,Legislation,No Legislation
566,Nigeria,Legislation,No Legislation,Legislation,Legislation,Legislation
807,North Macedonia,Legislation,Legislation,Legislation,Legislation,Legislation
578,Norway,Legislation,Legislation,Legislation,Legislation,Legislation
512,Oman,Legislation,Legislation,Legislation,Legislation,Legislation
586,Pakistan,Legislation,No Legislation,Draft Legislation,Legislation,Legislation
585,Palau,No Legislation,No Legislation,No Legislation,Legislation,Legislation
591,Panama,Legislation,Legislation,Legislation,Legislation,No Legislation
598,Papua New Guinea,Legislation,No Legislation,No Legislation,Legislation,No Legislation
600,Paraguay,Legislation,Legislation,Legislation,Legislation,Legislation
