code,country,Electronic Transactions,Consumer Protection,Privacy and Data Protection,Cybercrime,Indirect Taxation,Africa,Latin America and Caribbean,Asia and Oceania,Developing countries,Developed countries,Least developed countries,Landlocked developing countries,Small island developing states
004,Afghanistan,Legislation,No Legislation,No Legislation,Legislation,No Legislation,0,0,1,1,0,1,1,0
008,Albania,Legislation,Legislation,Legislation,Legislation,Legislation,0,0,0,0,1,0,0,0
012,Algeria,Legislation,Legislation,Legislation,Legislation,No Legislation,1,0,0,1,0,0,0,0
020,Andorra,Legislation,No Legislation,Legislation,Legislation,Legislation,0,0,0,0,1,0,0,0
024,Angola,Legislation,No Legislation,Legislation,Legislation,Legislation,1,0,0,1,0,1,0,0
028,Antigua and Barbuda,Legislation,Legislation,Legislation,Legislation,No Legislation,0,1,0,1,0,0,0,1
032,Argentina,Legislation,Legislation,Legislation,Legislation,Legislation,0,1,0,1,0,0,0,0
051,Armenia,Legislation,No Legislation,Legislation,Legislation,Legislation,0,0,1,1,0,0,1,0
036,Australia,Legislation,Legislation,Legislation,Legislation,Legislation,0,0,1,0,1,0,0,0
040,Austria,Legislation,Legislation,Legislation,Legislation,Legislation,0,0,0,0,1,0,0,0
031,Azerbaijan,Legislation,Legislation,Legislation,Legislation,Legislation,0,0,1,1,0,0,1,0
044,Bahamas,Legislation,Draft Legislation,Legislation,Legislation,Legislation,0,1,0,1,0,0,0,1
048,Bahrain,Legislation,Legislation,Legislation,Legislation,Legislation,0,0,1,1,0,0,0,0
050,Bangladesh,Legislation,Legislation,Draft Legislation,Legislation,Legislation,0,0,1,1,0,1,0,0
052,Barbados,Legislation,No Legislation,Legislation,Legislation,Legislation,0,1,0,1,0,0,0,1
112,Belarus,Legislation,Legislation,Legislation,Legislation,Legislation,0,0,0,0,1,0,0,0
056,Belgium,Legislation,Legislation,Legislation,Legislation,Legislation,0,0,0,0,1,0,0,0
084,Belize,Legislation,No Data,Legislation,Legislation,No Legislation,0,1,0,1,0,0,0,1
204,Benin,Legislation,Legislation,Legislation,Legislation,Legislation,1,0,0,1,0,1,0,0
064,Bhutan,Legislation,No Data,Legislation,Legislation,Legislation,0,0,1,1,0,0,1,0
068,Bolivia (Plurinational State of),Legislation,No Legislation,Legislation,No Legislation,Legislation,0,1,0,1,0,0,1,0
070,Bosnia and Herzegovina,Legislation,No Data,Legislation,Legislation,No Legislation,0,0,0,0,1,0,0,0
072,Botswana,Legislation,No Data,Legislation,Legislation,No Legislation,1,0,0,1,0,0,1,0
076,Brazil,Legislation,Legislation,Legislation,Legislation,Legislation,0,1,0,1,0,0,0,0
096,Brunei Darussalam,Legislation,Legislation,No Legislation,Legislation,No Legislation,0,0,1,1,0,0,0,0
100,Bulgaria,Legislation,Legislation,Legislation,Legislation,Legislation,0,0,0,0,1,0,0,0
854,Burkina Faso,Legislation,No Legislation,Legislation,Legislation,No Legislation,1,0,0,1,0,1,1,0
108,Burundi,Draft Legislation,No Legislation,No Legislation,Legislation,No Legislation,1,0,0,1,0,1,1,0
116,Cambodia,Legislation,Legislation,Legislation,Draft Legislation,Legislation,0,0,1,1,0,1,0,0
120,Cameroon,Legislation,Legislation,Legislation,Legislation,Legislation,1,0,0,1,0,0,0,0
124,Canada,Legislation,Legislation,Legislation,Legislation,Legislation,0,0,0,0,1,0,0,0
132,Cabo Verde,Legislation,No Legislation,Legislation,Legislation,No Legislation,1,0,0,1,0,0,0,1
140,Central African Republic,No Legislation,No Data,No Legislation,No Legislation,No Legislation,1,0,0,1,0,1,1,0
148,Chad,Legislation,No Data,Legislation,Legislation,No Legislation,1,0,0,1,0,1,1,0
152,Chile,Legislation,Legislation,Legislation,Legislation,Legislation,0,1,0,1,0,0,0,0
156,China,Legislation,Legislation,Legislation,Legislation,No Legislation,0,0,1,1,0,0,0,0
170,Colombia,Legislation,Legislation,Legislation,Legislation,Legislation,0,1,0,1,0,0,0,0
174,Comoros,No Legislation,No Legislation,No Legislation,No Legislation,No Legislation,1,0,0,1,0,1,0,1
178,Congo,No Legislation,No Legislation,Legislation,Legislation,No Legislation,1,0,0,1,0,0,0,0
188,Costa Rica,Legislation,Legislation,Legislation,Legislation,Legislation,0,1,0,1,0,0,0,0
